passengerId, longestRun
14221, 0
2163, 4
8607, 4
645, 6
13950, 4
892, 2
69, 4
10822, 4
5385, 8
5810, 1
7375, 7
5659, 4
14977, 1
9929, 8
11866, 1
12928, 1
2199, 10
8062, 2
3021, 12
13650, 3
8536, 5
5437, 2
1322, 10
1665, 5
5509, 7
5686, 6
1036, 7
9982, 3
2822, 8
7304, 1
14852, 1
10007, 1
9131, 6
2630, 1
13052, 1
6085, 11
13266, 4
3873, 7
10917, 2
4188, 7
1586, 12
8618, 6
1501, 6
4201, 5
2452, 7
8960, 10
15170, 3
9405, 7
809, 5
7373, 13
15467, 1
8930, 8
4560, 5
7766, 10
13024, 3
4447, 5
3962, 6
1879, 6
5422, 12
11472, 11
1337, 23
14885, 1
10609, 5
13321, 1
1718, 3
14038, 2
2094, 4
6836, 11
5469, 2
13373, 1
9208, 3
3944, 7
1411, 8
14782, 4
7427, 7
10647, 5
5365, 2
6387, 3
629, 9
13955, 2
8186, 2
3883, 20
5116, 16
10410, 4
6405, 3
13616, 5
9458, 3
5561, 3
6979, 6
2612, 8
14343, 2
4094, 3
6167, 4
1024, 8
5918, 5
13142, 4
1469, 4
13162, 2
7272, 1
13199, 2
8398, 14
12055, 2
365, 9
5088, 4
9273, 4
10166, 3
2744, 4
1369, 11
12597, 2
4835, 5
138, 8
12710, 4
6669, 4
12607, 3
6355, 5
12057, 7
2889, 3
12490, 1
13859, 1
1823, 9
1190, 4
10259, 4
10373, 7
11445, 1
1168, 5
2295, 7
2306, 13
7890, 11
4571, 5
3053, 4
4101, 5
4450, 11
13740, 4
9786, 3
15278, 2
3345, 10
9653, 10
14367, 4
760, 14
4005, 3
5857, 6
4464, 10
9886, 5
10785, 9
2341, 1
10638, 7
101, 5
2336, 13
9077, 13
3008, 2
2109, 10
4824, 6
12564, 4
5593, 3
2131, 6
1454, 16
7854, 9
13690, 3
4909, 5
2031, 10
5136, 15
8154, 3
12721, 4
10177, 5
7973, 3
6530, 6
11211, 11
7569, 4
5896, 9
1633, 2
6231, 4
2778, 9
13402, 4
15009, 1
8288, 13
15418, 1
13854, 1
7691, 4
11192, 10
2072, 5
5260, 14
14606, 3
4262, 5
11372, 5
14801, 1
5329, 5
8663, 2
8097, 5
9648, 6
6976, 9
3661, 4
11895, 6
7445, 8
11186, 7
4062, 2
1767, 8
3399, 10
1995, 3
10452, 10
2263, 8
12366, 1
6544, 3
14922, 1
12116, 2
3930, 16
4169, 5
479, 15
4899, 10
3798, 7
12526, 5
1559, 7
6712, 2
1105, 3
10577, 3
10267, 11
13643, 5
12570, 7
15440, 1
347, 9
3666, 11
4729, 3
4022, 8
12975, 1
9516, 12
9180, 1
10399, 3
14574, 2
12189, 8
11504, 5
11922, 5
1729, 6
15257, 1
15303, 2
14912, 1
5950, 6
11517, 2
6651, 1
14890, 1
10520, 7
3434, 6
14404, 1
3167, 6
7922, 1
13783, 3
10213, 1
8114, 8
8514, 3
9754, 7
2412, 15
8976, 8
2876, 1
14463, 1
1237, 6
7673, 5
15472, 1
846, 8
11235, 1
12109, 4
9833, 10
5320, 3
6283, 8
4183, 4
11313, 1
909, 3
2921, 2
9485, 3
13058, 1
4290, 3
8338, 6
10730, 2
3477, 11
3698, 10
14171, 1
333, 9
628, 14
3979, 14
1031, 9
249, 13
11164, 4
7660, 9
7100, 3
5390, 14
6285, 1
10495, 4
8283, 7
2463, 10
7798, 6
3397, 2
8507, 5
10134, 0
14057, 4
12753, 2
15242, 1
1899, 3
9731, 3
893, 8
1840, 5
11581, 2
3581, 8
6855, 11
14220, 0
14585, 1
13933, 4
4852, 15
7143, 2
1315, 19
3863, 5
8784, 5
9685, 6
10812, 7
10743, 5
12440, 5
13410, 3
12731, 2
3830, 5
6431, 9
2787, 7
11752, 5
5654, 6
5676, 7
2595, 3
6317, 10
14305, 1
518, 4
7990, 2
1850, 12
2499, 6
6512, 11
2427, 10
2480, 7
15055, 1
3969, 2
10944, 7
8030, 12
14139, 1
12148, 5
9076, 4
8843, 7
1083, 14
12629, 1
962, 9
1982, 11
468, 9
12344, 2
8266, 8
2559, 11
5205, 2
6121, 10
3449, 6
12934, 3
6172, 2
4015, 5
10081, 1
10753, 12
6074, 4
6819, 13
234, 10
2544, 16
13302, 1
6448, 3
5999, 7
12383, 1
11998, 2
5778, 4
941, 7
6555, 8
10319, 0
9676, 6
11898, 8
3927, 3
9864, 10
6845, 5
14709, 2
6986, 9
7072, 4
13405, 5
14822, 1
8646, 2
10363, 4
1179, 4
9907, 4
9411, 4
6690, 2
6042, 6
8415, 1
2331, 1
11763, 2
4682, 13
5733, 13
11318, 3
8639, 2
11620, 1
9965, 4
14833, 1
6263, 4
8475, 7
777, 4
15413, 1
8887, 3
14358, 2
3566, 7
10976, 7
11394, 6
555, 5
10987, 5
5028, 5
6566, 5
12614, 6
11385, 4
4728, 13
12468, 5
6954, 3
7285, 4
666, 9
4877, 7
14932, 1
8755, 1
1818, 20
9091, 10
8828, 3
7396, 6
6014, 11
9305, 11
10901, 1
1295, 2
11527, 8
12699, 3
6527, 1
9222, 6
1956, 10
12507, 2
5582, 3
10790, 1
1950, 13
12812, 1
4992, 5
14944, 1
5131, 2
13768, 4
6374, 1
88, 5
8077, 4
7903, 10
14684, 4
12689, 3
1549, 2
11659, 1
12462, 1
2280, 9
15138, 3
10272, 2
15380, 2
7549, 12
11790, 2
1554, 11
4904, 15
8200, 9
14181, 1
12738, 3
1110, 3
3172, 9
9437, 4
9032, 5
14419, 1
12549, 5
1686, 6
481, 12
4166, 13
352, 13
6808, 5
10507, 8
2250, 7
2363, 6
11008, 3
1855, 8
3680, 12
12500, 1
1200, 5
11175, 10
10844, 0
5444, 4
2077, 1
9241, 3
10658, 8
4043, 6
13869, 5
3534, 8
6142, 4
4931, 5
7601, 12
9342, 7
14399, 2
12458, 5
15361, 2
10387, 0
14296, 0
5454, 5
6057, 4
1750, 4
3185, 5
15019, 1
15490, 1
11224, 8
11688, 1
8855, 5
408, 5
977, 9
8005, 7
170, 14
5898, 6
6022, 6
3681, 14
6587, 4
15450, 1
11308, 6
7040, 2
6791, 3
12575, 2
8417, 2
11352, 7
1211, 13
12634, 7
3990, 5
9020, 4
7888, 5
12674, 2
6063, 8
15066, 1
4714, 4
523, 7
11350, 6
9621, 8
4037, 14
12949, 1
7886, 5
1158, 19
2309, 3
2512, 10
582, 12
2976, 8
10795, 19
762, 4
4376, 9
12030, 4
6576, 5
7477, 10
10299, 6
3072, 4
7905, 4
8883, 2
14895, 1
8450, 11
12426, 1
9573, 0
15098, 1
1924, 3
1005, 7
2210, 2
10149, 3
13834, 1
7596, 4
9791, 12
13244, 7
8129, 3
15115, 4
2117, 7
7940, 4
6177, 5
12602, 2
2940, 5
7935, 2
1596, 4
5141, 7
15408, 1
1406, 10
115, 1
2104, 6
12094, 3
5225, 5
10198, 5
7083, 5
6944, 5
11256, 6
15190, 2
14976, 1
12334, 5
12129, 2
3317, 16
13073, 3
14468, 1
10446, 16
8044, 6
5168, 2
12649, 1
4226, 12
7358, 5
11635, 4
6918, 7
7517, 7
4500, 8
8723, 3
8434, 7
7164, 1
10234, 9
13520, 5
7409, 2
10431, 10
5820, 5
4339, 15
5718, 6
13007, 5
683, 14
13712, 2
13110, 2
14991, 1
13475, 4
14414, 2
730, 8
4075, 12
1290, 2
1882, 10
217, 6
10832, 2
14235, 0
276, 16
6868, 5
9163, 2
14625, 1
2231, 16
2622, 2
9373, 7
6162, 5
9351, 13
11043, 8
11880, 10
14880, 1
6495, 5
11107, 7
1068, 6
3858, 6
14748, 4
7377, 3
13120, 2
7008, 4
9251, 3
4311, 3
2808, 4
3905, 14
1522, 5
14750, 5
6106, 5
5696, 12
14996, 1
9924, 8
8797, 6
3762, 7
10927, 6
13177, 2
2644, 6
14117, 1
6695, 5
4515, 2
9590, 3
3813, 7
2495, 13
12666, 2
3230, 12
2381, 4
13351, 1
13234, 1
8082, 7
5292, 5
10542, 3
15267, 1
6883, 3
7641, 6
6744, 1
13341, 1
11603, 1
12040, 7
5069, 9
5644, 10
12084, 2
7958, 4
2395, 1
11571, 8
9604, 5
2908, 4
5842, 11
10673, 4
2062, 6
3549, 11
6463, 4
12172, 2
15314, 2
1443, 4
5000, 4
8709, 1
12376, 6
10679, 2
13255, 2
12299, 5
2776, 19
1808, 11
13993, 2
2659, 1
3417, 2
9383, 11
6219, 3
10478, 16
3509, 8
5242, 4
9456, 6
11277, 2
10277, 6
8402, 6
15143, 2
1618, 8
11409, 1
7132, 3
6619, 3
10780, 8
10567, 4
9901, 8
3285, 8
6199, 6
6813, 8
3377, 2
11090, 8
994, 11
13062, 2
2527, 13
3040, 2
10912, 1
9324, 9
4391, 12
9769, 13
3153, 19
7322, 3
8811, 6
12089, 3
9704, 10
9120, 2
10331, 7
2953, 5
2590, 6
6458, 10
9045, 2
14570, 2
5297, 5
1401, 8
12371, 12
8682, 8
3460, 2
9892, 3
13159, 4
1422, 6
11353, 12
14786, 5
308, 6
6900, 16
8463, 10
2947, 7
1569, 12
1939, 3
4697, 4
3959, 9
6796, 5
2248, 7
12539, 6
14937, 1
8118, 3
4807, 7
10711, 2
13548, 1
13525, 6
13035, 1
5878, 1
6798, 3
3912, 13
13672, 4
3098, 6
14662, 4
10061, 1
10705, 9
13088, 1
9918, 6
15293, 1
10262, 5
15045, 1
741, 11
12415, 3
13462, 9
9998, 7
8695, 7
1073, 6
5625, 3
7726, 16
2671, 4
6441, 8
1544, 16
2676, 10
2014, 1
10562, 5
13437, 2
3910, 12
5793, 6
9717, 2
14729, 2
5173, 2
8315, 6
4960, 2
6323, 11
13283, 3
13886, 4
12774, 5
7368, 5
6776, 5
13707, 3
11122, 4
5, 1
1728, 12
9337, 5
7253, 4
10837, 11
10244, 6
13424, 4
8447, 3
3108, 7
6338, 9
10314, 6
7198, 5
8271, 8
4711, 10
6830, 6
9469, 3
4603, 10
5982, 13
873, 7
3012, 14
1205, 9
10017, 12
449, 10
9059, 10
120, 5
2099, 5
8169, 9
5224, 3
2282, 3
247, 11
1591, 15
5669, 13
7332, 5
12911, 3
9191, 6
14377, 1
12221, 8
13796, 3
14538, 1
6426, 7
2114, 4
12261, 2
5405, 8
2837, 1
1142, 9
379, 9
14446, 3
15185, 3
11266, 5
13586, 4
1269, 12
7850, 12
14241, 0
12896, 1
878, 12
4326, 8
5265, 6
11485, 1
440, 7
13227, 3
655, 4
12789, 4
3498, 3
511, 10
4215, 12
2380, 5
7182, 7
11556, 2
10886, 0
15325, 2
1971, 8
8943, 5
7781, 3
10876, 0
9572, 5
7516, 6
15222, 1
13918, 2
5691, 3
1793, 3
4614, 13
3402, 10
2854, 4
1533, 4
5237, 10
8563, 7
10294, 9
614, 10
1692, 11
8928, 5
4623, 11
10125, 3
10805, 2
9400, 12
4408, 5
6031, 7
5529, 8
4973, 7
13845, 2
15346, 2
269, 15
677, 9
10039, 1
13811, 2
8045, 18
6602, 3
7341, 10
8988, 16
5348, 3
11724, 4
11440, 2
5383, 12
6017, 12
7208, 2
9152, 9
10463, 10
14324, 1
1305, 5
9759, 7
202, 13
10694, 2
14078, 5
11881, 7
14093, 5
8366, 3
597, 5
5614, 3
9364, 9
9818, 7
13020, 2
15153, 5
4747, 5
1437, 14
9135, 1
13212, 2
4487, 6
12013, 5
6480, 4
6732, 6
14409, 1
4592, 5
9268, 9
14431, 1
15239, 2
13687, 4
6214, 3
14765, 3
9003, 5
1041, 7
13202, 3
861, 2
11080, 5
3382, 9
4479, 2
14156, 3
6194, 5
14200, 3
1173, 11
1486, 7
14867, 1
4532, 3
6295, 8
7813, 11
9950, 6
5501, 3
4105, 6
12971, 1
7793, 12
3848, 2
8320, 14
13130, 2
13152, 2
1497, 3
10, 1
2195, 5
1705, 4
3017, 5
4543, 16
6522, 10
14506, 2
5967, 5
5425, 6
5550, 3
14441, 3
9956, 13
14741, 5
1078, 15
1788, 9
5120, 14
1426, 6
6971, 1
3217, 3
3530, 2
6278, 1
13660, 3
5814, 5
14617, 2
9933, 7
10775, 4
4234, 11
15357, 3
9184, 7
12193, 5
1671, 2
13187, 2
10282, 4
8733, 9
5037, 7
3794, 13
6391, 2
1608, 8
